epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.264,1.58379,2.96384,1.48739,0.50072,0.30664,0.27959,0.15363,1.47117,1.9626,1.4079,0.00332629,0.00332629,0.00332629
2,277.911,1.60249,2.29561,1.54087,0.65396,0.29323,0.28436,0.14865,1.55835,2.30924,1.55687,0.00665912,0.00665912,0.00665912
3,408.348,1.67294,2.32504,1.60907,0.45336,0.19409,0.1699,0.08779,1.80484,2.55377,1.82628,0.00998994,0.00998994,0.00998994
4,537.273,1.71892,2.30158,1.66793,0.41717,0.18384,0.16509,0.0874,1.73274,2.87812,1.81015,0.00999322,0.00999322,0.00999322
5,666.447,1.66255,2.10539,1.63003,0.57741,0.31738,0.29732,0.16347,1.53967,1.9848,1.58401,0.00998794,0.00998794,0.00998794
6,795.23,1.63456,1.97897,1.60023,0.5588,0.32266,0.29715,0.16914,1.48346,1.83006,1.54137,0.00998116,0.00998116,0.00998116
7,924.334,1.58922,1.87139,1.59175,0.59033,0.35667,0.35577,0.19866,1.45198,1.67414,1.52108,0.00997288,0.00997288,0.00997288
8,1053.21,1.56128,1.82346,1.57343,0.60338,0.37119,0.36557,0.21611,1.42432,1.63663,1.47455,0.0099631,0.0099631,0.0099631
9,1181.47,1.55189,1.78468,1.56058,0.52821,0.39864,0.37064,0.21878,1.41656,1.65746,1.51578,0.00995183,0.00995183,0.00995183
10,1310.61,1.53247,1.72061,1.54654,0.59623,0.39069,0.36901,0.21557,1.40245,1.68213,1.50417,0.00993906,0.00993906,0.00993906
11,1439.3,1.52698,1.69486,1.54372,0.62387,0.39495,0.39555,0.23734,1.37597,1.55099,1.46463,0.0099248,0.0099248,0.0099248
12,1567.93,1.48825,1.64699,1.5173,0.50069,0.43198,0.42803,0.26624,1.34118,1.46702,1.42338,0.00990905,0.00990905,0.00990905
13,1696.97,1.46541,1.58963,1.50421,0.46718,0.45098,0.41934,0.25722,1.33966,1.44671,1.43306,0.00989183,0.00989183,0.00989183
14,1825.93,1.47756,1.58984,1.50706,0.51758,0.42282,0.41684,0.25294,1.33514,1.45537,1.46443,0.00987313,0.00987313,0.00987313
15,1954.83,1.46635,1.56692,1.50183,0.60056,0.4211,0.43601,0.26791,1.3323,1.48195,1.45264,0.00985296,0.00985296,0.00985296
16,2083.67,1.45426,1.5451,1.49355,0.54204,0.43925,0.43681,0.26784,1.31068,1.42453,1.42945,0.00983133,0.00983133,0.00983133
17,2212.53,1.44582,1.5319,1.48563,0.58179,0.46449,0.47623,0.29844,1.28086,1.34468,1.40206,0.00980825,0.00980825,0.00980825
